Element & Symbol,Electronegativity,Atomic Radii (pm),Thermal Conductivity (W/m·K),Melting Point (K),Density (kg/m3),Crystal structure,Electrical Conductivity (S/m) x 10^-06,Resistivity (nΩ·m),Gibbs Free Energy (kJ/mol),Standard Electrode Potential (V),Specific Capacity (mAh/g),Ionization Energy (kJ·mol-1),Electron Affinity (kJ·mol-1)
Na-10Sn,0.93,162,26.7,768.0,3440,Tetragonal,3.6,12.0,-335.45,-1.47,820.0,495.9,-107.0
Li-2Al,0.98,152,180.0,933.0,680,Cubic,3.68,34.0,-129.32,-1.66,3850.0,520.2,-44.0
Li-5Al,1.61,143,210.0,933.0,635,Cubic,5.7,43.0,-315.256,-1.66,3000.0,520.2,-44.0
Li-5Si,0.98,145,39.1,463.0,885,Cubic,8.5,62.0,-245.41,-2.73,3300.0,520.2,-133.0
Li-10Si,0.98,145,32.4,463.0,860,Cubic,11.0,82.0,-405.845,-2.73,2800.0,520.2,-133.0
Li-5Sn,1.23,182,44.7,500.0,2150,Cubic,8.18,23.0,-169.777,-0.51,2200.0,520.2,-107.0
Li-10Sn,1.17,154,36.8,505.0,2220,Cubic,7.07,24.0,-294.865,-0.39,1800.0,520.2,-107.0
Li-5Bi,0.98,167,8.0,538.0,8320,unknown,1.4,69.0,-139.747,-0.81,1800.0,520.5,-91.0
Li-10Bi,0.98,167,8.0,538.0,8320,unknown,1.4,94.0,-238.95,-0.81,1400.0,520.5,-91.0
Fe-20Co,1.83,126,52.3,1643.0,8000,BCC,8.7,115.0,-128.926,-0.62,820.0,762.5,-64.0
Fe-30Co,1.88,125,44.7,1667.0,8200,BCC,7.5,133.0,-144.128,-0.62,770.0,762.5,-64.0
Fe-20Ni,1.83,126,29.4,1708.0,7874,BCC,8.1,12.3,-178.919,-0.25,660.0,746.0,-112.0
Fe-30Ni,1.91,124,30.7,1728.0,7874,BCC,9.3,10.8,-201.323,-0.25,540.0,746.0,-112.0
